"","SPECIES.NAME","freq"
"92","White-browed Bulbul | Pycnonotus luteolus",0.0540852819807428
"93","Dark-fronted Babbler | Rhopocichla atriceps",0.0535075653370014
"94","Asian Brown Flycatcher | Muscicapa dauurica",0.0534800550206327
"95","Asian Palm-Swift | Cypsiurus balasiensis",0.0532049518569464
"96","Common Kingfisher (Small Blue Kingfisher) | Alcedo atthis",0.0520495185694635
"97","Malabar Woodshrike | Tephrodornis sylvicola",0.0510591471801926
"98","Dusky Crag-Martin | Ptyonoprogne concolor",0.0489133425034388
"99","Heart-spotted Woodpecker | Hemicircus canente",0.0486382393397524
"100","Ashy Woodswallow | Artamus fuscus",0.0485832187070151
"101","Black Eagle | Ictinaetus malaiensis",0.0473177441540578
"102","Brown-capped Pygmy Woodpecker (Indian Pygmy Woodpecker) | Dendrocopos nanus",0.0465199449793673
"103","Large-billed Leaf Warbler | Phylloscopus magnirostris",0.0452269601100413
"104","Barn Swallow | Hirundo rustica",0.0447867950481431
"105","Jerdon's Leafbird (Jerdon's Chloropsis) | Chloropsis jerdoni",0.0445667125171939
"106","Malabar Starling (Blyth’s Starling) | Sturnia blythii",0.0444291609353508
"107","Mountain Imperial-Pigeon | Ducula badia",0.0442365887207703
"108","White-breasted Waterhen | Amaurornis phoenicurus",0.0439064649243466
"109","Jungle Owlet | Glaucidium radiatum",0.0426409903713893
"110","White-bellied Drongo | Dicrurus caerulescens",0.0425309491059147
"111","Indian Blackbird | Turdus simillimus",0.042283356258597
"112","Bar-winged Flycatcher-shrike | Hemipus picatus",0.039697386519945
"113","Indian Tit (Indian Black-lored Tit) | Machlolophus aplonotus",0.0391746905089409
"114","Grey-headed Canary-Flycatcher | Culicicapa ceylonensis",0.0384319119669876
"115","Black Kite | Milvus migrans",0.0362310866574966
"116","White-bellied Blue-Flycatcher | Cyornis pallipes",0.0355708390646492
"117","Eurasian Hoopoe | Upupa epops",0.0354883081155433
"118","Laughing Dove (Little Brown Dove) | Streptopelia senegalensis",0.0352407152682256
"119","Streak-throated Woodpecker | Picus xanthopygaeus",0.0347180192572215
"120","Little Swift (Indian House Swift) | Apus affinis",0.0331499312242091
"121","Red Spurfowl | Galloperdix spadicea",0.0327372764786795
"122","Common Woodshrike | Tephrodornis pondicerianus",0.0325997248968363
"123","White-rumped Munia | Lonchura striata",0.0324896836313618
"124","Brown-breasted Flycatcher | Muscicapa muttui",0.0319944979367263
"125","Crested Hawk-Eagle | Nisaetus cirrhatus",0.0312242090784044
"126","Indian Roller | Coracias benghalensis",0.029958734525447
"127","Brown-headed Barbet (Large Green Barbet) | Psilopogon zeylanicus",0.0299312242090784
"128","Brahminy Starling | Sturnia pagodarum",0.0289408528198074
"129","Lesser Yellownape | Picus chlorolophus",0.028665749656121
"130","Blue-faced Malkoha | Phaenicophaeus viridirostris",0.0279779917469051
"131","Stork-billed Kingfisher | Pelargopsis capensis",0.0278954607977992
"132","Great Hornbill (Great Pied Hornbill) | Buceros bicornis",0.0278129298486933
"133","Crested Treeswift | Hemiprocne coronata",0.0271251719394773
"134","Nilgiri Flycatcher | Eumyias albicaudatus",0.026767537826685
"135","Chestnut-tailed Starling | Sturnia malabarica",0.0265199449793673
"136","Black-headed Cuckooshrike | Lalage melanoptera",0.0264924346629986
"137","Black-shouldered Kite (Black-winged Kite) | Elanus caeruleus",0.0264099037138927
"138","Rufous Woodpecker | Micropternus brachyurus",0.0254195323246217
"139","White-rumped Shama | Copsychus malabaricus",0.0253370013755158
"140","Grey-headed Bulbul | Pycnonotus priocephalus",0.0252544704264099
"141","Thick-billed Flowerpecker | Dicaeum agile",0.0250068775790922
"142","Indian Pitta | Pitta brachyura",0.0249518569463549
"143","Common Rosefinch | Carpodacus erythrinus",0.0245116918844567
"144","Scaly-breasted Munia (Spotted Munia) | Lonchura punctulata",0.0242365887207703
"145","Forest Wagtail | Dendronanthus indicus",0.0238514442916094
"146","Green Imperial-Pigeon | Ducula aenea",0.0237138927097662
"147","Eurasian Kestrel (Common Kestrel) | Falco tinnunculus",0.0235213204951857
"148","Intermediate Egret | Mesophoyx intermedia",0.0233287482806052
"149","Oriental Darter | Anhinga melanogaster",0.0229711141678129
"150","Crested Goshawk | Accipiter trivirgatus",0.0227510316368638
"151","Hill Swallow (House Swallow) | Hirundo domicola",0.0224759284731774
"152","Large Cuckooshrike | Coracina macei",0.0221458046767538
"153","Plain Prinia | Prinia inornata",0.0219532324621733
"154","Malabar Pied-Hornbill | Anthracoceros coronatus",0.0218431911966988
"155","Blue-capped Rock-Thrush | Monticola cinclorhynchus",0.0214580467675378
"156","Rusty-tailed Flycatcher | Ficedula ruficauda",0.0214030261348006
"157","Verditer Flycatcher | Eumyias thalassinus",0.0210453920220083
"158","Chestnut-shouldered Petronia (Yellow-throated Sparrow) | Petronia xanthocollis",0.0204401650618982
"159","White-bellied Woodpecker (Great Black Woodpecker) | Dryocopus javensis",0.0201650618982118
"160","Black-throated Munia | Lonchura kelaarti",0.0200825309491059
"161","Kerala Laughingthrush | Trochalopteron fairbanki",0.0200550206327373
"162","River Tern | Sterna aurantia",0.0200275103163686
"163","Grey Francolin | Francolinus pondicerianus",0.02
"164","Asian Openbill | Anastomus oscitans",0.0188995873452545
"165","Wire-tailed Swallow | Hirundo smithii",0.0188445667125172
"166","Paddyfield Pipit | Anthus rufulus",0.0188170563961486
"167","Bay-backed Shrike | Lanius vittatus",0.0182393397524072
"168","Jerdon's Bushlark | Mirafra affinis",0.0178266850068776
"169","Brown Fish-Owl | Ketupa zeylonensis",0.0176616231086658
"170","Indian Blue Robin | Larvivora brunnea",0.0176066024759285
"171","Black-and-rufous Flycatcher (Black-and-orange Flycatcher) | Ficedula nigrorufa",0.0173039889958735
"172","Common Flameback (Goldenbacked Three-toed Woodpecker) | Dinopium javanense",0.0171389270976616
"173","Woolly-necked Stork | Ciconia episcopus",0.017111416781293
"174","Lesser Whistling-Duck | Dendrocygna javanica",0.0164511691884457
"175","Great Egret | Ardea alba",0.016423658872077
"176","Indian Cormorant (Indian Shag) | Phalacrocorax fuscicollis",0.0163686382393398
"177","White-rumped Needletail (White-rumped Spinetail) | Zoonavena sylvatica",0.0162585969738652
"178","Common Sandpiper | Actitis hypoleucos",0.0161485557083906
"179","Sri Lanka Frogmouth | Batrachostomus moniliger",0.0158734525447043
"180","Brown-backed Needletail | Hirundapus giganteus",0.0157083906464924
"181","Tawny-bellied Babbler | Dumetia hyperythra",0.0155433287482806
"182","Nilgiri Wood-Pigeon | Columba elphinstonii",0.0149105914718019
"183","Oriental Dollarbird | Eurystomus orientalis",0.0149105914718019
"184","Indian Spot-billed Duck | Anas poecilorhyncha",0.0146629986244842
"185","Black-naped Oriole | Oriolus chinensis",0.0142778541953232
"186","Grey Heron | Ardea cinerea",0.0142778541953232
"187","Indian Grey Hornbill | Ocyceros birostris",0.0141403026134801
"188","Black-headed Ibis | Threskiornis melanocephalus",0.0138927097661623
"189","Blue-bearded Bee-eater | Nyctyornis athertoni",0.0136726272352132
"190","Blue-tailed Bee-eater | Merops philippinus",0.0136176066024759
"191","Alpine Swift | Apus melba",0.0135900962861073
"192","White-browed Fantail | Rhipidura aureola",0.0135900962861073
"193","Yellow-footed Pigeon (Yellow-footed Green-Pigeon) | Treron phoenicopterus",0.0135625859697387
"194","Pied Kingfisher | Ceryle rudis",0.0132049518569464
"195","Spot-breasted Fantail (White-spotted Fantail) | Rhipidura albogularis",0.0129023383768913
"196","Western Yellow Wagtail | Motacilla flava",0.0126547455295736
"197","Western Crowned Leaf Warbler | Phylloscopus occipitalis",0.0119119669876204
"198","Great Cormorant | Phalacrocorax carbo",0.0118569463548831
"199","Tickell's Leaf Warbler | Phylloscopus affinis",0.0116918844566713
"200","Green Warbler | Phylloscopus nitidus",0.0114718019257221
"201","Banded Bay Cuckoo | Cacomantis sonneratii",0.0111416781292985
"202","Yellow-crowned Woodpecker | Dendrocopos mahrattensis",0.0108665749656121
"203","Booted Eagle | Hieraaetus pennatus",0.0108390646492435
"204","Yellow-eyed Babbler | Chrysomma sinense",0.010646492434663
"205","Jungle Prinia | Prinia sylvatica",0.0105914718019257
"206","Large Grey Babbler | Turdoides malcolmi",0.0105639614855571
"207","Blue-throated Flycatcher (Blue-throated Blue-Flycatcher) | Cyornis rubeculoides",0.0103713892709766
"208","Eurasian Collared-Dove | Streptopelia decaocto",0.010343878954608
"209","Rufous-bellied Eagle | Lophotriorchis kienerii",0.010343878954608
"210","Whiskered Tern | Chlidonias hybrida",0.0103163686382393
"211","Spotted Owlet | Athene brama",0.00932599724896836
"212","Little Grebe | Tachybaptus ruficollis",0.00907840440165062
"213","Malabar Lark | Galerida malabarica",0.00896836313617607
"214","Nilgiri Pipit | Anthus nilghiriensis",0.00896836313617607
"215","Baya Weaver | Ploceus philippinus",0.00894085281980743
"216","Grey-bellied Cuckoo | Cacomantis passerinus",0.00894085281980743
"217","Purple Heron | Ardea purpurea",0.00874828060522696
"218","Indian Cuckoo | Cuculus micropterus",0.00830811554332875
"219","Jerdon's Nightjar | Caprimulgus atripennis",0.00828060522696011
"220","Fork-tailed Drongo-Cuckoo | Surniculus dicruroides",0.00800550206327373
"221","Indian Nuthatch | Sitta castanea",0.00781292984869326
"222","Brown Hawk-Owl | Ninox scutulata",0.00773039889958735
"223","Jungle Bush-Quail | Perdicula asiatica",0.00762035763411279
"224","Indian Silverbill (White-throated Munia) | Euodice malabarica",0.00756533700137552
"225","Green Sandpiper | Tringa ochropus",0.0074828060522696
"226","Speckled Piculet | Picumnus innominatus",0.0074828060522696
"227","Indian Scops-Owl | Otus bakkamoena",0.00734525447042641
"228","Bonelli's Eagle | Aquila fasciata",0.00720770288858322
"229","Besra | Accipiter virgatus",0.00704264099037139
"230","Black-chinned Laughingthrush (Nilgiri Laughingthrush) | Trochalopteron cachinnans",0.00693259972489684
"231","Wynaad Laughingthrush | Ianthocincla delesserti",0.00687757909215956
"232","Lesser Fish-Eagle | Ichthyophaga humilis",0.00668500687757909
"233","Pied Cuckoo (Jacobin Cuckoo) | Clamator jacobinus",0.00665749656121045
"234","Thick-billed Warbler | Iduna aedon",0.00657496561210454
"235","Oriental Turtle-Dove | Streptopelia orientalis",0.00646492434662999
"236","White-rumped Vulture | Gyps bengalensis",0.00640990371389271
"237","Jungle Nightjar (Indian Jungle Nightjar) | Caprimulgus indicus",0.00638239339752407
"238","Blue Rock-Thrush | Monticola solitarius",0.00624484181568088
"239","Tricolored Munia (Black-headed Munia) | Lonchura malacca",0.00616231086657497
"240","Black Baza | Aviceda leuphotes",0.00610729023383769
"241","Wood Sandpiper | Tringa glareola",0.00607977991746905
"242","Red-breasted Flycatcher | Ficedula parva",0.00602475928473177
"243","Painted Stork | Mycteria leucocephala",0.00594222833562586
"244","Peregrine Falcon | Falco peregrinus",0.00563961485557084
"245","White-bellied Shortwing (White-bellied Blue Robin) | Brachypteryx albiventris",0.00558459422283356
"246","Blue-eared Kingfisher | Alcedo meninting",0.00541953232462173
"247","Short-toed Snake-Eagle | Circaetus gallicus",0.00541953232462173
"248","Booted Warbler | Iduna caligata",0.00528198074277854
"249","Oriental Scops-Owl | Otus sunia",0.0052544704264099
"250","Rosy Starling | Pastor roseus",0.00514442916093535
"251","Striated Heron (Little Heron) | Butorides striata",0.00511691884456671
"252","Ashy-crowned Sparrow-Lark (Ashy-crowned Finch-Lark) | Eremopterix griseus",0.00506189821182944
"253","Little Ringed Plover | Charadrius dubius",0.00506189821182944
"254","Hair-crested Drongo (Spangled Drongo) | Dicrurus hottentottus",0.00489683631361761
"255","White-eyed Buzzard | Butastur teesa",0.00486932599724897
"256","Eurasian Coot | Fulica atra",0.00478679504814305
"257","Zitting Cisticola | Cisticola juncidis",0.00478679504814305
"258","Oriental Skylark | Alauda gulgula",0.00475928473177442
"259","Taiga Flycatcher (Red-throated Flycatcher) | Ficedula albicilla",0.00462173314993122
"260","Common Buzzard | Buteo buteo",0.00448418156808803
"261","Red-headed Vulture | Sarcogyps calvus",0.0044566712517194
"262","Vigors's Sunbird | Aethopyga vigorsii",0.00442916093535076
"263","Tree Pipit | Anthus trivialis",0.00434662998624484
"264","Painted Bush-Quail | Perdicula erythrorhyncha",0.00415405777166437
"265","Osprey | Pandion haliaetus",0.00398899587345255
"266","Yellow-wattled Lapwing | Vanellus malabaricus",0.00390646492434663
"267","Red-naped Ibis (Indian Black Ibis) | Pseudibis papillosa",0.00387895460797799
"268","White Wagtail | Motacilla alba",0.00376891334250344
"269","Clamorous Reed-Warbler (Indian Great Reed-Warbler) | Acrocephalus stentoreus",0.0037414030261348
"270","Legge's Hawk-Eagle | Nisaetus kelaarti",0.00368638239339752
"271","Mottled Wood-Owl | Strix ocellata",0.00352132049518569
"272","Indian Nightjar | Caprimulgus asiaticus",0.00343878954607978
"273","White-bellied Sea-Eagle | Haliaeetus leucogaster",0.00327372764786795
"274","Spot-bellied Eagle-Owl | Bubo nipalensis",0.00319119669876204
"275","Great Eared-Nightjar | Lyncornis macrotis",0.00299862448418157
"276","Brown Wood-Owl | Strix leptogrammica",0.0028060522696011
"277","Common Greenshank | Tringa nebularia",0.0028060522696011
"278","Grey-headed Swamphen (Purple Swamphen) | Porphyrio poliocephalus",0.0028060522696011
"279","Sirkeer Malkoha | Taccocua leschenaultii",0.0028060522696011
"280","Bronze-winged Jacana | Metopidius indicus",0.00277854195323246
"281","Black-crowned Night-Heron | Nycticorax nycticorax",0.00275103163686382
"282","Cotton Pygmy-Goose (Cotton Teal) | Nettapus coromandelianus",0.00272352132049519
"283","Eurasian Marsh-Harrier | Circus aeruginosus",0.00272352132049519
"284","Nilgiri Thrush | Zoothera neilgherriensis",0.00272352132049519
"285","Rufous-bellied Shortwing (Nilgiri Blue Robin) | Brachypteryx major",0.00269601100412655
"286","Savanna Nightjar | Caprimulgus affinis",0.00261348005502063
"287","Black-backed Dwarf-Kingfisher (Oriental Dwarf Kingfisher) | Ceyx erithaca",0.00247592847317744
